Time (s),Jitter
0.144114666,-6.93232523e-06
0.144152386,-7.64115395e-06
0.145068734,3.79674192e-05
0.145242264,-7.54957562e-06
0.145473883,-6.15661403e-06
0.146750043,-6.29146945e-06
0.146927109,-7.34480935e-06
0.147223577,-8.79606144e-06
0.147632478,3.82525803e-05
0.147789776,-6.03469907e-06
0.147945666,3.70238754e-05
0.148175292,-9.58631144e-06
0.148219693,-6.97627364e-06
0.148595778,-6.04758458e-06
0.148690707,-7.96415824e-06
0.149377907,-7.14592054e-06
0.149458029,3.96773165e-05
0.1497304,-7.67971249e-06
0.149785713,-7.98032828e-06
0.150029796,-6.05170762e-06
0.150111453,-9.69391826e-06
0.150163581,-6.81224178e-06
0.150586803,-1.00140375e-05
0.150623084,3.66540446e-05
0.151078161,-8.40606561e-06
0.151245523,2.91931511e-05
0.151249451,-1.07201787e-05
0.151342036,-6.2953121e-06
0.151519862,-9.10650408e-06
0.151963556,-7.7835721e-06
0.152033405,-7.62088362e-06
0.152064158,3.55772882e-05
0.152249279,-7.53217724e-06
0.15248177,-7.0103862e-06
0.152531243,-9.46917953e-06
0.152858319,-6.53208192e-06
0.152990593,-7.79324292e-06
0.153692665,-6.84773218e-06
0.153768394,-6.56662452e-06
0.154064878,-8.03549503e-06
0.15416503,-1.11708963e-05
0.154196496,-7.6255118e-06
0.154399523,3.33045509e-05
0.154482419,-8.57963143e-06
0.15483528,3.85113955e-05
0.155005154,-7.35050762e-06
0.155096651,-8.83438911e-06
0.155285077,-7.24845972e-06
0.155611938,3.88424043e-05
0.156059495,-1.16939444e-05
0.156284306,-9.48867538e-06
0.156490876,-6.048435e-06
0.156539109,3.46723917e-05
0.156626878,-6.08733749e-06
0.156982587,3.71582443e-05
0.157511753,-6.99228109e-06
0.157606082,-2.12914699e-05
0.157714012,-7.20972703e-06
0.157905302,-7.48762227e-06
0.158117097,-6.27117056e-06
0.158250914,-6.07898888e-06
0.158383788,-6.9416587e-06
0.158474069,2.67428948e-05
0.158475469,-1.06432881e-05
0.158578902,-6.06716601e-06
0.15916191,-6.05906566e-06
0.159511162,-8.29598957e-06
0.159582115,3.47057361e-05
0.159877007,-8.17138322e-06
0.159951855,-1.00060773e-05
0.160003952,-9.09000554e-06
0.160327332,-7.45611679e-06
0.160926772,-7.87768278e-06
0.160978917,3.99255057e-05
0.161766206,-7.34479179e-06
0.162031225,-7.35109378e-06
0.162160251,-8.36407392e-06
0.162356805,-7.90567172e-06
0.162598833,-7.91926533e-06
0.162840116,3.77511924e-05
0.163083567,-7.68673322e-06
0.16338737,3.34699579e-05
0.163389466,-8.61528026e-06
0.163564949,-8.08472579e-06
0.163607829,-6.95565713e-06
0.163660966,-6.0837356e-06
0.16387036,-7.46602685e-06
0.163958369,-7.46433292e-06
0.164125772,3.70875639e-05
0.164272701,-8.82899958e-06
0.164525329,-9.44078641e-06
0.164731115,-9.21288346e-06
0.164797556,-8.64173283e-06
0.165014967,-9.03808581e-06
0.165231873,-7.93187748e-06
0.165272426,3.64692469e-05
0.165748448,-7.53707779e-06
0.165844433,-9.50888691e-06
0.166103849,-1.090741e-05
0.166164365,-9.41088658e-06
0.166286631,3.62787804e-05
0.166409802,-8.88016589e-06
0.166454297,3.85769645e-05
0.16681145,-1.0558743e-05
0.167034768,-9.86107205e-06
0.167079008,-6.09333939e-06
0.167272603,3.92648952e-05
0.167629503,-6.62272159e-06
0.167860986,-8.09249088e-06
0.167976412,-9.50449026e-06
0.168065576,-1.46497394e-05
0.168275823,-9.88157113e-06
0.168418802,3.80945112e-05
0.168589579,-9.66934135e-06
0.168770982,-8.05922939e-06
0.168993497,3.9379423e-05
0.169496063,-8.17035131e-06
0.169554322,-1.54095544e-05
0.169712841,-7.91720522e-06
0.169865659,-8.7223295e-06
0.169887708,3.21895838e-05
0.17006275,-8.83942185e-06
