Time (s),Mean Bit Life Time Per Packet
0.104983422,5.1112e-05
0.10532757,5.0256e-05
0.105575405,5.3088e-05
0.105896377,5.5055765e-05
0.106056875,5.1552e-05
0.106495873,5.1544e-05
0.106593242,5.1912e-05
0.106747612,5.028e-05
0.106988615,1.028e-05
0.107067472,5.2136e-05
0.107152217,4.988e-05
0.107243154,5.0816e-05
0.107720024,5.068e-05
0.108874734,5.2376e-05
0.109025072,5.2712e-05
0.109381665,6.3300697e-05
0.109439365,5.1e-05
0.109720993,5.3624e-05
0.109925187,5.2816e-05
0.110246392,5.2016e-05
0.110412874,5.3496e-05
0.110779086,4.9704e-05
0.110814087,4.9704e-05
0.110899336,4.9952e-05
0.110987945,5.156e-05
0.111033769,1.1383513e-05
0.111035081,5.1696e-05
0.11136891,5.152e-05
0.111552664,5.1272e-05
0.1117686,5.3205718e-05
0.111822251,5.1856e-05
0.111856172,8.776e-06
0.112064486,5.2088e-05
0.112259793,5.2392e-05
0.112547621,6.216e-06
0.112641997,5.1592e-05
0.112700054,5.0648e-05
0.112923066,3.656e-06
0.113044794,5.2384e-05
0.113239301,5.1888e-05
0.113356728,6.8313507e-05
0.113405431,5.3016e-05
0.113706387,5.2968e-05
0.11380386,5.344e-05
0.113978006,5.3584e-05
0.114250081,5.3656e-05
0.114456108,5.268e-05
0.114773528,5.2096e-05
0.114902794,5.136e-05
0.115032371,4.9936e-05
0.115357678,6.2239288e-05
0.115475825,5.3384e-05
0.115515633,5.2192e-05
0.115644123,5.368e-05
0.115770525,7.08e-06
0.115888695,6.248e-06
0.116136105,5.3656e-05
0.116573478,5.3024e-05
0.116626495,5.004e-05
0.116676043,5.7587624e-05
0.117152574,5.2112e-05
0.117406817,5.0352e-05
0.117621804,5.0336e-05
0.117687868,5.04e-05
0.11792129,5.5818512e-05
0.118052737,5.1264e-05
0.118122534,6.6060038e-05
0.118324485,4.008e-06
0.118447334,5.0856e-05
0.118613808,5.2328e-05
0.118868635,5.3152e-05
0.119169103,5.1616e-05
0.119284704,5.2216e-05
0.119564548,5.3056e-05
0.119567732,1.6239501e-05
0.119742503,4.008e-06
0.1198704,4.9904e-05
0.120004905,5.0408e-05
0.120483887,5.3384e-05
0.120627905,5.14e-05
0.120789011,5.2504e-05
0.121015422,5.0912e-05
0.121262194,4.68e-06
0.121516892,5.0376e-05
0.121678391,8.872e-06
0.122416471,4.9944e-05
0.12248164,5.3112e-05
0.122965847,1.0312e-05
0.123044199,5.2664e-05
0.123133488,5.0952e-05
0.123190241,4.9704e-05
0.123395172,5.0632e-05
0.123442796,5.0256e-05
0.12359363,5.1088e-05
0.123659208,6.664e-06
0.123996155,5.2608e-05
0.124362328,4.776e-06
0.124545554,5.3e-05
0.124613384,5.4829388e-05
0.124693919,5.9362815e-05
0.125311831,5.1048e-05
0.125673852,5.2064e-05
0.125733949,9.16e-06
0.125815613,5.2824e-05
0.125930839,5.1048e-05
0.126461973,5.2176e-05
0.127065245,5.144e-05
0.12758712,1.0308006e-05
0.127669988,5.2176e-05
0.127798518,4.9704e-05
0.127980776,5.296e-05
0.128016985,5.1168e-05
0.128143267,9.448e-06
0.128448334,5.0512e-05
0.128811435,5.1608e-05
0.12915064,4.808e-06
0.129268592,4.976e-05
0.12939221,5.1376e-05
0.129610125,5.2288e-05
0.129832328,4.488e-06
0.130191372,5.0528e-05
0.130331254,5.1408e-05
0.130464095,5.0248e-05
0.130521752,5.0904e-05
0.130734195,5.1344e-05
0.130906973,5.112e-05
0.130985102,5.0248e-05
0.131052079,5.224e-06
0.131437324,5.2464e-05
0.131479908,5.2048e-05
0.131576582,7.72e-06
0.132277983,7.112e-06
0.132466632,5.076e-05
0.133270707,6.824e-06
0.133409148,5.2264e-05
0.133528206,5.032e-05
0.133562727,4.84e-06
0.133771449,5.356e-05
0.133870706,5.2816e-05
0.134291719,4.9824e-05
0.134528282,5.1384e-05
0.135097858,6.952e-06
0.135269036,5.128e-06
0.135714617,4.9704e-05
0.135899947,5.1032e-05
0.136519323,5.04e-05
0.136570676,1.1752e-05
0.136982857,5.2928e-05
0.137128467,5.2536e-05
0.137285125,5.2192e-05
0.137510224,9.288e-06
0.137623537,5.26e-05
0.137697762,5.1824e-05
0.137865188,5.2248e-05
0.138103575,5.1632e-05
0.138144711,8.767293e-06
0.138471715,5.2768e-05
0.138791215,5.0264e-05
0.138947025,5.2072e-05
0.138968474,4.52e-06
0.139184668,5.0712e-05
0.139297806,7.848e-06
0.139710219,5.256e-06
0.139798748,4.9784e-05
0.140077896,5.1928219e-05
0.140132265,4.296e-06
0.140615916,1.3941622e-05
0.140822801,5.2824e-05
0.140903042,5.2064e-05
0.141119684,4.9704e-05
0.141248318,5.2336e-05
0.141346295,5.2312e-05
0.141482209,9.224e-06
0.141690756,5.1768e-05
0.14186667,5.368e-05
0.141996655,5.0664e-05
0.142116777,5.1784e-05
0.142350196,5.02e-05
0.142418853,5.2856e-05
0.142477461,6.4464e-05
0.142529853,6.085533e-05
0.142996548,5.3544e-05
0.143205543,6.536e-06
0.143294328,5.232e-05
0.143374849,4.984e-05
0.143552939,9.928e-06
0.143714357,6.344e-06
0.143839438,5.0424e-05
0.143981312,5.0296e-05
0.144032433,5.0416e-05
